id,name,abv,ibu,target_fg,target_og,ebc,srm,ph
211,Black Dog,5.5,60.0,1020.0,1062.0,230.0,115.0,4.4
295,Choco Libre,9.0,25.0,1020.0,1086.0,190.0,96.0,4.2
266,Small Batch: Lemon Meringue Pie,6.5,5.0,1015.0,1066.0,7.0,4.0,4.0
31,Nanny State,0.5,55.0,1005.0,1007.0,30.0,15.0,4.4
89,Citra,7.5,70.0,1013.0,1068.0,30.0,15.0,4.4
137,Sink The Bismarck!,41.0,1085.0,1016.0,1085.0,40.0,20.0,4.4
208,Sunshine On Rye - B-Sides,7.2,130.0,1010.0,1065.0,14.0,7.0,5.2
60,Dogma,7.5,30.0,1023.0,1080.0,46.0,23.0,4.5
215,Brixton Porter,5.0,50.0,1014.0,1053.0,200.0,100.0,4.4
106,Punk IPA 2010 - Current,5.6,40.0,1011.0,1055.0,15.0,7.6,4.4
130,Spiced Cherry Sour - B-Sides,6.5,20.0,1010.0,1060.0,,,3.2
107,HBC 366 - IPA Is Dead,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
88,Bavarian Weizen,6.3,55.0,1012.0,1060.0,30.0,15.0,4.4
303,Hazy Jane Rye Barrel Aged,7.2,30.0,1009.0,1065.0,15.0,8.0,4.2
97,Bowman's Beard - B-Sides,18.3,50.0,1011.0,1067.0,15.0,8.0,5.3
192,Punk IPA 2007 - 2010,6.0,60.0,1010.0,1056.0,17.0,8.5,4.4
204,"Cascade, Centennial & Willamette IPA - B-Sides",6.4,65.0,1011.0,1060.0,14.0,7.0,5.2
308,Very Big Moose,12.0,25.0,1038.0,1128.0,100.0,50.0,4.4
1,Buzz,4.5,60.0,1010.0,1044.0,20.0,10.0,4.4
39,Kohatu - IPA Is Dead,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
216,Barrel Aged Hinterland,9.0,85.0,1025.0,1094.0,400.0,200.0,4.3
84,Baby Saison - B-Sides,3.6,9.0,1004.0,1032.0,2.0,1.0,4.4
138,Dog A,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
33,Sorachi Ace,7.5,75.0,1013.0,1068.0,30.0,15.0,4.4
4,Pilsen Lager,6.3,55.0,1012.0,1060.0,30.0,15.0,4.4
30,Dana - IPA Is Dead,6.7,70.0,1015.0,1066.0,30.0,15.0,4.4
289,Hello My Name Is Lieke,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
200,Double IPA - Russian Doll,8.0,85.0,1013.0,1074.0,35.0,17.5,5.2
276,Nine To Five Wizard,7.5,35.0,1012.0,1069.0,20.0,10.0,4.3
58,Coffee Imperial Stout,9.0,65.0,1019.0,1080.0,97.0,49.0,4.4
13,Movember,4.5,50.0,1012.0,1047.0,140.0,70.0,5.2
243,Gin Blitz,3.2,8.0,1008.0,1038.0,8.0,4.0,3.2
222,Dog E,16.1,100.0,1125.0,1015.0,500.0,254.0,4.4
8,Fake Lager,4.7,40.0,1010.0,1046.0,12.0,6.0,4.4
188,Paradox Jura,10.0,55.0,1014.0,1128.0,300.0,152.0,4.4
133,Black Eye Joe (w/ Stone Brewing Co),5.8,40.0,1008.0,1053.0,177.3,88.7,4.4
21,Vice Bier,4.3,25.0,1010.0,1043.0,30.0,15.0,4.0
268,Hazy Jane,7.2,30.0,1009.0,1065.0,15.0,8.0,4.2
55,Amarillo - IPA Is Dead,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
296,Off-Duty Alien,6.5,50.0,1010.0,1060.0,20.0,10.0,4.4
189,AB:11,12.8,70.0,1020.0,1108.0,79.0,40.0,4.4
65,Bracken's Porter,5.0,50.0,1010.0,1049.0,110.0,55.0,4.4
36,Shipwrecker Circus (w/ Oskar Blues),10.5,85.0,1022.0,1102.0,64.0,32.0,4.4
203,Bitch Please (w/ 3 Floyds),11.5,50.0,1016.0,1104.0,38.0,19.0,4.4
71,Pale - Russian Doll,4.0,35.0,1010.0,1041.0,45.0,22.5,5.2
183,Nuns With Guns,4.2,25.0,1012.0,1044.0,19.0,9.5,4.4
177,Dog D,16.1,85.0,1015.0,1125.0,400.0,200.0,4.3
127,Galaxy,6.7,67.0,1064.0,1013.0,19.0,9.5,4.4
52,Paradox Islay,10.0,55.0,1014.0,1090.0,300.0,152.0,4.4
171,Challenger,6.7,67.0,1013.0,1064.0,19.0,9.5,4.4
104,India Pale Weizen (w/ Weihenstephan),6.2,50.0,1010.0,1056.0,35.0,17.5,4.0
187,Lichtenstein Pale Ale,5.2,50.0,1010.0,1050.0,17.0,8.5,4.4
2,Trashy Blonde,4.1,41.5,1010.0,1041.7,15.0,15.0,4.4
19,Hello My Name Is Mette-Marit,8.2,70.0,1013.0,1076.0,,,4.4
179,How To Disappear Completely,3.5,198.0,1010.0,1037.0,37.0,19.0,4.4
114,U-Boat (w/ Victory Brewing),8.4,50.0,1015.0,1080.0,200.0,100.0,4.4
311,Sonic Boom,6.5,60.0,1008.0,1058.0,11.0,6.0,4.6
72,Whisky Sour - B-Sides,7.0,20.0,1021.0,1081.0,12.0,6.0,3.2
212,Hop Fiction - Prototype Challenge,5.2,40.0,1010.0,1048.0,13.0,6.5,4.4
320,King of Eights,7.4,20.0,1009.0,1065.0,20.0,10.0,4.4
176,Old World India Pale Ale,7.5,80.0,1012.0,1069.0,50.0,25.0,4.4
195,Hello My Name Is Holy Moose,5.5,35.0,1011.0,1053.0,25.0,12.5,4.4
238,Kingpin,4.7,40.0,1008.0,1044.0,14.0,7.0,4.2
280,Make Earth Great Again,7.5,35.0,1004.0,1065.0,9.0,5.0,4.6
246,Casino Rye Ale,5.1,40.0,1009.0,1049.0,25.0,12.7,5.2
135,Growler,4.5,38.0,1008.0,1042.9,18.0,9.0,4.4
57,Prototype 27,9.2,149.0,1014.0,1083.0,19.5,9.8,4.4
98,Pumpkin King,5.4,20.0,1014.0,1055.0,30.0,15.0,4.4
264,Small Batch: East Coast Crush,4.8,25.0,1010.0,1047.0,15.0,8.0,4.2
250,Small Batch: Rye IPA,7.2,100.0,1010.0,1065.0,8.0,16.0,4.4
257,Semi Skimmed Occultist,8.0,70.0,1014.0,1080.0,160.0,81.28,4.1
27,Dog B,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
265,Pump Action Poet,7.5,40.0,1013.0,1070.0,12.0,6.0,5.2
271,Small Batch: Cranachan Cream Ale,6.5,8.0,1019.0,1069.0,10.0,5.0,4.3
49,AB:14,10.0,30.0,1016.0,1094.0,20.0,10.0,4.4
300,Indie Pale Ale,4.2,30.0,1008.0,1044.0,16.6,8.0,4.6
231,Ace Of Chinook,4.5,40.0,1011.0,1045.0,18.0,9.0,4.2
210,Dead Metaphor,6.8,30.0,1016.0,1068.0,86.0,43.0,4.4
202,Dog C,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
93,Mango Gose - B-Sides,6.4,40.0,1000.0,1057.0,10.0,5.0,3.5
217,Barrel Aged Albino Squid Assassin,9.2,65.0,1012.0,1069.0,60.0,30.0,4.2
258,Paradox Rye,13.0,100.0,1015.0,1112.0,300.0,152.0,4.4
313,Mallow Mafia,12.0,75.0,1025.0,1116.0,390.0,198.0,4.4
214,Cult Lager,5.4,50.0,1049.0,1008.0,19.0,8.0,4.1
205,Shareholder Black IPA 2011,7.1,80.0,1014.0,1067.0,71.0,36.0,4.4
22,Devine Rebel (w/ Mikkeller),12.5,100.0,1030.0,1093.0,36.0,18.0,4.4
12,Arcade Nation,5.3,60.0,1012.0,1052.0,200.0,100.0,4.2
53,Baby Dogma,4.5,35.0,1013.0,1048.0,40.0,20.0,4.4
78,AB:18,11.8,80.0,1020.0,1096.0,115.0,57.5,5.2
11,Misspent Youth,7.3,30.0,1020.0,1079.0,120.0,60.0,4.4
260,New England IPA,6.8,45.0,1012.0,1065.0,17.0,9.0,4.2
322,Jet Trash,6.9,65.0,1008.0,1060.0,18.0,9.0,4.6
165,Barley Wine - Russian Doll,10.0,80.0,1020.0,1097.0,65.0,32.5,4.4
79,Hops Kill Nazis,7.6,70.0,1015.0,1073.0,59.0,29.5,4.4
225,Paradox Islay 2.0,13.0,100.0,1112.0,1015.0,300.0,152.0,4.4
256,Small Batch: Vermont IPA,6.9,35.0,1012.0,1066.0,15.0,7.62,4.2
168,Jack Hammer,7.2,250.0,1010.0,1065.0,15.0,7.5,4.4
129,Hinterland,9.0,85.0,1025.0,1094.0,400.0,200.0,4.3
267,AB:22,12.5,70.0,1020.0,1115.0,100.0,51.0,4.1
290,Hello My Name Is Niamh,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
34,Bourbon Baby,5.8,35.0,1005.0,1049.0,44.0,22.0,4.4
317,Al Adjore!,9.0,65.0,1018.0,1085.0,35.0,18.0,79.0
262,Small Batch: Vermont IPA V2.0,6.9,35.0,1012.0,1066.0,15.0,7.6,4.2
143,Lizard Bride - Prototype Challenge,5.7,35.0,1009.0,1053.0,25.0,12.5,4.4
141,Cap Dog (w/ Cap Brewery),9.0,80.0,1014.0,1083.0,180.0,90.0,5.2
310,Clockwork Tangerine,4.5,37.0,1012.0,1047.0,20.0,10.0,4.2
157,Edge,2.7,36.0,1010.0,1033.0,57.0,29.0,4.4
136,#Mashtag 2014,9.0,50.0,1015.0,1084.0,20.0,10.0,4.4
26,Skull Candy,3.5,33.0,1012.0,1038.0,50.0,25.0,4.4
148,AB:02,18.0,70.0,1010.0,1150.0,57.0,28.5,4.4
248,Twin Atlantic,5.0,80.0,1011.0,1048.0,19.0,9.7,5.2
175,San Diego Scotch Ale (w/Ballast Point),9.0,70.0,1018.0,1090.0,190.0,95.0,4.4
91,Dead Pony Club,3.8,35.0,1012.0,1040.0,25.0,12.7,4.4
41,AB:17,10.7,100.0,1025.0,1105.0,300.0,150.0,4.3
158,Hello My Name Is Zé (w/ 2Cabeças),6.4,50.0,1012.0,1061.0,20.0,10.0,4.4
245,Beatnik,8.0,60.0,1013.0,1075.0,60.0,30.5,5.2
62,AB:08,10.43,65.0,1016.0,1095.0,23.0,11.5,4.4
18,Russian Doll – India Pale Ale,6.0,70.0,1012.0,1058.0,25.0,12.5,5.2
201,Waimea - IPA Is Dead,6.7,70.0,1015.0,1066.0,30.0,15.0,4.4
40,Hello My Name is Vladimir,8.2,70.0,1013.0,1076.0,16.0,8.0,4.4
270,Blonde Export Stout,7.0,55.0,1020.0,1075.0,16.0,8.0,4.4
37,Zephyr,12.5,125.0,1016.0,1087.0,40.0,20.0,4.4
184,Atlantic IPA Ale,8.0,80.0,1013.0,1074.0,55.0,13.0,4.4
150,AB:13,11.3,50.0,1020.0,1098.0,164.0,83.0,4.4
80,AB:04,15.0,80.0,1018.0,1113.0,400.0,200.0,4.0
160,Restorative Beverage For Invalids And Convalescents,8.5,100.0,1003.0,1068.0,15.0,7.5,4.4
226,Chili Hammer,7.2,250.0,1010.0,1065.0,15.0,7.5,4.4
20,Rabiator,10.27,26.0,1014.0,1092.0,24.0,12.0,4.4
185,Tactical Nuclear Penguin,32.0,1157.0,1028.0,1157.0,250.0,127.0,4.4
74,Eurotrash,4.1,52.0,1010.0,1041.0,17.0,8.5,5.2
10,Bramling X,7.5,75.0,1013.0,1068.0,22.0,11.0,4.4
116,Morag's Mojito - B-Sides,6.7,40.0,1010.0,1063.0,15.0,7.5,5.2
96,Lumberjack Stout,15.2,20.0,1020.0,1110.0,158.0,79.0,4.4
69,AB:16,10.6,55.0,1012.0,1090.0,30.0,15.0,4.4
59,Mandarina Bavaria - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
100,Elvis Juice V2.0 - Prototype Challenge,6.5,60.0,1010.0,1060.0,25.0,12.5,4.4
29,10 Heads High,7.8,70.0,1015.0,1074.0,90.0,45.0,4.4
73,Black Eyed King Imp - Vietnamese Coffee Edition,12.7,85.0,1038.0,1113.5,250.0,125.0,5.2
241,Hello My Name Is Ingrid 2016,8.2,70.0,1013.0,1076.0,30.0,15.2,5.2
286,Hello My Name Is Aune,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
174,Konnichiwa Kitsune,4.4,70.0,1012.0,1045.0,30.0,15.0,4.4
180,Doodlebug,2.5,35.0,1008.0,1027.0,10.0,5.0,4.2
46,Anarchist Alchemist,16.5,20.5,1000.0,1112.0,20.0,10.0,4.4
140,Pioneer - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
305,Native Son,8.5,70.0,1010.0,1073.0,18.0,9.0,4.6
190,Hello My Name is Sonja (w/ Evil Twin),8.3,70.0,1013.0,1076.0,30.0,15.0,4.4
6,Electric India,5.2,38.0,1005.0,1045.0,15.0,7.5,4.4
249,Hop Shot,7.0,250.0,1010.0,1065.0,15.0,7.5,4.4
319,Grano Giusto,5.5,28.0,1009.0,1052.0,55.0,28.0,4.3
17,AB:06,11.2,150.0,1013.0,1098.0,70.0,35.0,
162,77 Lager,4.9,30.0,1009.0,1047.0,12.0,6.0,4.4
48,Goldings - IPA Is Dead,6.7,70.0,1015.0,1066.0,30.0,15.0,4.4
173,Chinook - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
86,Original Dogma (Née Speedball),7.8,60.0,1012.0,1071.3,31.0,15.5,4.3
118,Bounty Hunter - Shareholder Brew,6.5,35.0,1020.0,1068.0,250.0,125.0,4.2
309,Paradox Islay 2018,13.5,100.0,1015.0,1112.0,300.0,152.0,4.4
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,3.6,8.0,1007.0,1040.0,,,3.2
282,Pina Colada Sidewalk,5.2,10.0,1008.0,1055.0,15.0,7.0,3.8
169,AB:19,13.1,,,,,,
182,All Day Long - Prototype Challenge,2.8,30.0,1012.0,1032.5,42.0,21.0,4.4
274,Prototype Black Rye IPA,6.5,70.0,1012.0,1060.0,135.0,69.0,4.5
7,AB:12,11.2,35.0,1017.0,1108.0,80.0,40.0,5.3
197,Moshi Moshi 15,5.2,45.0,1011.0,1048.0,35.0,17.5,4.4
219,Ship Wreck,13.8,60.0,1015.0,1088.0,25.0,13.0,4.4
45,The Physics,5.0,47.0,1010.0,1048.5,65.0,32.5,4.4
291,Hello My Name Is Sofia,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
279,Slot Machine,5.2,50.0,1011.0,1051.0,50.0,25.0,4.3
153,Hoppy Saison - B-Sides,6.4,40.0,1010.0,1059.0,8.0,4.0,5.2
105,Hello My Name Is Beastie,8.2,42.0,1013.0,1078.0,90.0,45.0,4.4
235,Mango And Chili Barley Wine,12.0,,1015.0,1110.0,20.0,40.0,4.4
253,Small Batch: 90 Shilling,5.3,25.0,1010.0,1056.0,40.0,20.32,4.2
306,AB:25,13.3,35.0,1020.0,1113.0,90.0,46.0,4.2
325,Zipcode,5.0,37.0,1006.0,1044.0,5.0,3.0,4.4
14,Alpha Dog,4.5,42.0,1025.0,1046.0,62.0,31.0,4.4
32,AB:05,12.5,40.0,1030.0,1126.0,180.0,90.0,4.4
113,Hello My Name Is Ingrid,8.2,42.0,1013.0,1078.0,70.0,35.0,4.4
312,Dog G,17.0,100.0,1015.0,1125.0,500.0,254.0,4.4
54,Albino Squid Assasin,7.4,65.0,1012.0,1069.0,60.0,30.0,4.2
3,Berliner Weisse With Yuzu - B-Sides,4.2,8.0,1007.0,1040.0,8.0,4.0,3.2
43,American Wheat,4.5,17.0,1013.0,1047.0,10.0,5.0,5.3
301,Small Batch: Dry-hopped Pilsner,4.7,37.0,1006.0,1042.0,5.0,3.0,4.4
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),4.6,30.0,1008.0,1043.0,15.0,7.5,4.4
145,Sorachi Bitter - B-Sides,6.3,130.0,1010.0,1060.0,14.0,7.0,5.2
254,Small Batch: Kellerbier,4.5,25.0,1011.0,1043.0,17.0,8.6,5.3
321,Jinx Pale Ale,4.7,35.0,1008.0,1043.0,13.0,7.0,4.6
236,Science IPA,5.0,,1011.0,1050.0,24.0,47.0,4.4
259,Tropic Thunder,7.0,25.0,1020.0,1074.0,170.0,86.36,4.2
283,AB:24,11.5,50.0,1019.0,1110.0,220.0,112.0,4.4
167,Libertine Black Ale,7.2,50.0,1013.0,1068.0,150.0,76.0,4.4
95,Peroxide Punk,4.0,40.0,1009.0,1039.0,18.0,9.0,4.4
121,Punk Monk,6.0,60.0,1010.0,1056.0,17.0,8.5,4.4
247,Self Assembly Pope,7.4,75.0,1016.0,1072.0,200.0,101.6,5.1
23,Storm,8.0,60.0,1010.0,1082.0,12.0,6.0,4.4
293,I Wanna Be Your Dog,12.0,55.0,1035.0,1125.0,600.0,305.0,4.1
67,Hunter Foundation Pale Ale,5.4,35.0,1008.0,1050.0,11.5,5.75,4.4
119,Zeitgeist,4.9,32.0,1010.0,1047.5,120.0,60.0,4.3
83,Comet,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
112,Vote Sepp,3.6,20.0,1009.0,1036.0,8.0,4.0,4.1
242,Crew Brew,8.0,100.0,1011.0,1072.0,28.0,14.2,5.2
90,#Mashtag 2015,10.0,85.0,1020.0,1098.0,130.0,65.0,4.4
272,Small Batch: Spelt & Honey Saison,5.2,22.0,1008.0,1046.0,8.0,4.0,4.1
103,Clown King,12.0,85.0,1020.0,1130.0,24.0,12.0,4.4
47,AB:15,12.8,50.0,1020.0,1096.0,111.0,55.5,4.4
155,Old World Russian Imperial Stout,9.5,80.0,1014.0,1075.0,195.0,97.5,4.5
223,Prototype Pils 2.0,4.7,25.0,1044.0,1008.0,25.0,5.0,4.2
99,Hello My Name Is Päivi,8.3,70.0,1013.0,1076.0,30.0,15.0,4.4
213,El Dorado - IPA Is Dead,6.7,70.0,1015.0,1066.0,30.0,15.0,4.4
164,Ella - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
287,Hello My Name Is Marianne,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
82,Hopped-Up Brown Ale - Prototype Challenge,6.3,85.0,1015.0,1063.0,24.0,12.0,4.2
142,Orange Blossom - B-Sides,3.8,20.0,1000.0,1039.0,6.0,3.0,5.2
233,Ace Of Citra,4.5,40.0,1011.0,1045.0,18.0,9.0,4.2
64,Sub Hop,8.0,35.0,1016.0,1077.0,15.0,7.5,4.4
134,Mr.Miyagi's Wasabi Stout,7.5,90.0,1015.0,1072.0,200.0,102.0,4.4
209,Stereo Wolf Stout - Prototype Challenge,5.2,55.0,1014.0,1052.0,200.0,100.0,5.2
76,#Mashtag 2013,7.5,50.0,1013.0,1070.0,40.0,20.0,4.4
199,Alice Porter,5.2,55.0,1013.0,1053.0,165.0,82.5,5.2
81,India Session Lager - Prototype Challenge,4.4,35.0,1007.0,1040.0,12.0,6.0,4.4
56,Black Eyed King Imp,9.5,85.0,1022.0,1095.0,250.0,125.0,4.4
323,Interstate Vienna Lager.,5.0,25.0,1007.0,1045.0,14.0,7.0,4.2
51,TM10,5.5,20.0,1005.0,1048.0,14.0,7.0,4.2
152,Deaf Mermaid - B-Sides,5.2,65.0,1010.0,1048.0,16.0,8.0,5.2
221,Blitz Series,3.2,8.0,1032.0,1007.0,8.0,3.0,3.2
281,Homicidal Puppet Help Desk,11.5,132.0,1020.0,1105.0,45.0,23.0,4.1
50,Lost Dog (w/Lost Abbey),10.0,35.0,1012.0,1080.0,80.0,40.0,4.4
304,Karma Cloud,6.5,50.0,1010.0,1060.0,35.0,18.0,4.4
172,Single Hop Enigma IPA - B-Sides,5.0,50.0,1011.0,1050.0,10.0,5.0,4.4
316,SOS! (May Day!),6.4,34.0,1014.0,1060.0,21.0,11.0,4.2
284,Hello My Name Is Helga,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
68,Hype,4.1,65.0,1010.0,1042.0,17.0,8.5,4.4
251,Small Batch: Sorachi Ace Session,4.0,25.0,1005.0,1035.0,15.0,7.62,5.1
156,Hoppy Christmas,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
123,Candy Kaiser,5.2,45.0,1009.0,1049.0,45.0,22.5,4.2
314,Manic Mango,6.0,20.0,1010.0,1057.0,12.0,6.0,4.4
198,AB:01,10.2,20.0,1018.0,1095.0,16.0,8.0,4.1
178,Simcoe,6.7,70.0,1012.0,1063.0,30.0,15.0,4.4
294,Opaque Jake,7.2,20.0,1009.0,1065.0,20.0,10.0,4.4
77,Hobo Pop,4.2,50.0,1010.0,1042.0,30.0,15.0,4.4
144,Tokyo*,16.2,85.0,1028.0,1157.0,250.0,127.0,4.4
163,This. Is. Lager,4.7,37.0,1007.0,1043.0,10.0,6.0,4.2
101,Riptide,8.0,45.0,1014.0,1075.0,240.0,120.0,4.4
218,Monk Hammer,7.2,250.0,1010.0,1065.0,15.0,7.5,4.4
191,Interstellar,6.5,55.0,1011.0,1059.0,50.0,25.0,4.4
154,No Label,4.5,25.0,1009.0,1043.0,10.0,5.0,4.2
